"","GEOID","NAME","pop","blk_tot","wht_tot","hsp_tot","aapi_tot","hhs","renter_hh","owner_hh","med_inc","year","pct_wht","pct_blk","pct_hsp","pct_aapi","rent_pct","tract"
"1",42101001400,"Census Tract 14, Philadelphia County, Pennsylvania",4100,1124,2530,53,260,2089,906,1589,48355,2020,61.7073170731707,27.4146341463415,1.29268292682927,6.34146341463415,43.3700335088559,"001400"
"2",42101002900,"Census Tract 29, Philadelphia County, Pennsylvania",3762,85,3018,544,252,1987,980,1267,48259,2020,80.2232854864434,2.25943646996279,14.4603934077618,6.69856459330144,49.3205837946653,"002900"
"3",42101004201,"Census Tract 42.01, Philadelphia County, Pennsylvania",5374,34,4043,79,1211,2166,526,1984,33137,2020,75.2326014142166,0.632675846669148,1.4700409378489,22.5344250093041,24.2843951985226,"004201"
"4",42101007800,"Census Tract 78, Philadelphia County, Pennsylvania",4066,716,2414,396,582,2051,1659,700,34583,2020,59.3703885882932,17.6094441711756,9.73930152484014,14.3138219380226,80.8873720136519,"007800"
"5",42101009100,"Census Tract 91, Philadelphia County, Pennsylvania",2722,957,811,145,778,1556,693,365,25375,2020,29.7942689199118,35.1579720793534,5.3269654665687,28.5819250551065,44.5372750642673,"009100"
"6",42101011500,"Census Tract 115, Philadelphia County, Pennsylvania",4358,3821,287,65,0,1583,291,1786,33374,2020,6.58558972005507,87.6778338687471,1.49150986691143,0,18.3828174352495,"011500"
"7",42101013200,"Census Tract 132, Philadelphia County, Pennsylvania",2643,1241,1062,323,159,1287,949,213,26658,2020,40.1816118047673,46.9542186908816,12.2209610291336,6.01589103291714,73.7373737373737,"013200"
"8",42101014600,"Census Tract 146, Philadelphia County, Pennsylvania",4208,2082,1338,130,562,1048,537,564,9585,2020,31.7965779467681,49.4771863117871,3.0893536121673,13.3555133079848,51.2404580152672,"014600"
"9",42101037700,"Census Tract 377, Philadelphia County, Pennsylvania",5100,2049,2135,829,327,1271,1045,94,8545,2020,41.8627450980392,40.1764705882353,16.2549019607843,6.41176470588235,82.2187254130606,"037700"
"10",42101017701,"Census Tract 177.01, Philadelphia County, Pennsylvania",3515,876,760,2276,39,1166,752,343,9129,2020,21.6216216216216,24.9217638691323,64.75106685633,1.10953058321479,64.4939965694683,"017701"
"11",42101019501,"Census Tract 195.01, Philadelphia County, Pennsylvania",4617,347,1634,4103,0,1670,419,695,9942,2020,35.3909465020576,7.51570283734026,88.8672298029023,0,25.0898203592814,"019501"
"12",42101021800,"Census Tract 218, Philadelphia County, Pennsylvania",5032,1272,3184,343,163,2390,2113,722,44609,2020,63.275039745628,25.2782193958665,6.81637519872814,3.23926868044515,88.4100418410042,"021800"
"13",42101024800,"Census Tract 248, Philadelphia County, Pennsylvania",2360,2181,79,65,0,769,167,767,17675,2020,3.34745762711864,92.4152542372881,2.75423728813559,0,21.7165149544863,"024800"
"14",42101027000,"Census Tract 270, Philadelphia County, Pennsylvania",2668,2268,245,41,125,905,304,878,34988,2020,9.18290854572714,85.0074962518741,1.53673163418291,4.68515742128935,33.5911602209945,"027000"
"15",42101028400,"Census Tract 284, Philadelphia County, Pennsylvania",3598,2957,285,300,216,1282,547,557,15149,2020,7.92106725958866,82.1845469705392,8.33796553640911,6.00333518621456,42.6677067082683,"028400"
"16",42101030501,"Census Tract 305.01, Philadelphia County, Pennsylvania",5348,3286,642,1517,264,1682,590,1388,24190,2020,12.0044876589379,61.4435302916978,28.3657442034405,4.93642483171279,35.077288941736,"030501"
"17",42101034100,"Census Tract 341, Philadelphia County, Pennsylvania",5310,451,3995,709,498,2497,948,1561,44393,2020,75.2354048964218,8.49340866290019,13.3521657250471,9.37853107344633,37.9655586704045,"034100"
"18",42101034900,"Census Tract 349, Philadelphia County, Pennsylvania",4959,1307,2740,1119,185,2030,692,1512,24750,2020,55.2530752167776,26.3561201855213,22.5650332728373,3.73059084492841,34.0886699507389,"034900"
"19",42101001002,"Census Tract 10.02, Philadelphia County, Pennsylvania",3158,84,2879,105,137,1800,811,1139,74212,2020,91.1652944901837,2.65991133628879,3.32488917036099,4.33818872704243,45.0555555555556,"001002"
"20",42101008601,"Census Tract 86.01, Philadelphia County, Pennsylvania",3355,776,1791,417,311,1479,1606,308,28519,2020,53.3830104321908,23.1296572280179,12.4292101341282,9.26974664679583,108.586883029074,"008601"
"21",42101010500,"Census Tract 105, Philadelphia County, Pennsylvania",4445,3987,299,309,85,1465,553,503,19664,2020,6.72665916760405,89.6962879640045,6.95163104611923,1.91226096737908,37.7474402730375,"010500"
